DEPTH,P-wave,Lithology,Porosity,Density,S-wave,Water Saturation,Volumetric
3564.6499,3233.1653,0,0.0184,2.6364,1539.1904,1,0.8834
3564.8,3285.8398,0,0.0126,2.6348,1533.532,1,0.9201
3564.95,3345.5737,0,0.0155,2.6269,1539.3251,1,0.9198
3565.1001,3351.3406,0,0.0162,2.6214,1546.6522,1,0.9011
3565.25,3398.3899,0,0.0265,2.6226,1579.007,1,0.7718
3565.3999,3397.561,0,0.0333,2.6234,1596.8325,1,0.6835
3565.55,3377.8574,0,0.0322,2.6272,1624.4619,1,0.6495
3565.7,3363.3809,0,0.034,2.627,1628.582,1,0.6443
3565.8501,3382.9683,0,0.0339,2.6318,1647.8127,1,0.6626
3566,3380.332,0,0.0368,2.6362,1655.266,1,0.6355
3566.1499,3387.2673,0,0.0324,2.6416,1669.1738,1,0.6416
3566.3,3405.4158,0,0.0323,2.639,1681.931,1,0.632
3566.45,3390.168,0,0.0258,2.6385,1716.0648,1,0.6503
3566.6001,3394.8667,0,0.0202,2.6429,1746.5835,1,0.6503
3566.75,3416.3779,0,0.0214,2.651,1782.1573,1,0.5874
3566.8999,3472.5974,0,0.0238,2.6522,1797.4424,1,0.5495
3567.05,3524.7161,0,0.0267,2.6545,1793.9932,1,0.5287
3567.2,3532.7454,0,0.0275,2.656,1787.016,1,0.5315
3567.3501,3547.4238,0,0.0331,2.6527,1784.4972,1,0.5195
3567.5,3561.5159,0,0.0385,2.6476,1786.27,1,0.4981
3567.6499,3561.8992,0,0.0446,2.6431,1777.7681,1,0.4767
3567.8,3537.8589,0,0.0448,2.6429,1759.7543,1,0.4831
3567.95,3485.4746,0,0.0428,2.6481,1737.7373,1,0.4828
3568.1001,3430.4788,1,0.0368,2.6514,1724.6799,1,0.509
3568.25,3422.7756,1,0.0413,2.6473,1729.5804,1,0.5059
3568.3999,3424.8833,1,0.05,2.6422,1751.0624,1,0.4834
3568.55,3489.1689,1,0.0576,2.6419,1791.3795,1,0.473
3568.7,3589.3877,1,0.0618,2.6397,1853.2568,1,0.4626
3568.8501,3699.012,1,0.0636,2.6287,1921.6501,1,0.4419
3569,3798.5005,1,0.0606,2.619,2021.2983,1,0.3709
3569.1499,3922.6252,1,0.0513,2.6186,2107.0728,1,0.2789
3569.3,4006.636,1,0.0407,2.6265,2171.3914,1,0.2193
3569.45,4032.2412,1,0.0354,2.6347,2200.4565,1,0.1997
3569.6001,4035.3748,1,0.0318,2.6437,2214.4929,1,0.2199
3569.75,4005.7803,1,0.0302,2.6468,2221.4551,1,0.2347
3569.8999,3982.96,1,0.0276,2.6442,2213.719,1,0.2708
3570.05,3919.2244,0,0.0243,2.638,2181.7185,1,0.3328
3570.2,3858.6008,0,0.021,2.6361,2138.9773,1,0.4075
3570.3501,3820.9609,0,0.019,2.6396,2096.5076,1,0.4757
3570.5,3792.6414,0,0.0211,2.6419,2060.1384,1,0.5039
3570.6499,3791.1985,0,0.0226,2.6402,2031.4442,1,0.5308
3570.8,3767.0034,0,0.0233,2.6338,2008.901,1,0.5747
3570.95,3755.1265,0,0.0277,2.6278,2002.0664,1,0.5985
3571.1001,3771.0364,0,0.0316,2.6243,1999.7085,1,0.5983
3571.25,3774.0872,0,0.0299,2.6266,1994.0935,1,0.5841
3571.3999,3758.2534,0,0.0284,2.6308,1982.2928,1,0.5681
3571.55,3727.7605,0,0.0293,2.6307,1967.9652,1,0.5912
3571.7,3674.075,0,0.0293,2.6295,1955.5424,1,0.6518
3571.8501,3601.5422,0,0.0243,2.6278,1945.928,1,0.7174
3572,3571.8716,0,0.015,2.6312,1934.9414,1,0.755
3572.1499,3564.0579,0,0.0137,2.6314,1917.8948,1,0.7285
3572.3,3504.7864,0,0.0172,2.6275,1914.0076,1,0.7125
3572.45,3348.4421,0,0.0147,2.6255,1902.9265,1,0.761
3572.6001,3200.8499,0,0.0177,2.6221,1890.2493,1,0.777
3572.75,3151.1335,0,0.0175,2.6226,1859.7208,1,0.7986
3572.8999,3200.356,0,0.0187,2.629,1828.9053,1,0.7862
3573.05,3331.1147,0,0.0097,2.6402,1814.2448,1,0.8402
3573.2,3439.2231,0,0.0031,2.6389,1820.839,1,0.914
3573.3501,3596.5032,0,0.012,2.6283,1853.3503,1,0.9217
3573.5,3701.5017,0,0.0114,2.6278,1885.5015,1,0.9135
3573.6499,3706.574,0,0.0021,2.6392,1913.1379,1,0.8702
3573.8,3666.4109,0,0.0003,2.6478,1918.8403,1,0.8149
